question,option_a,option_b,option_c,option_d,option_correct,co,lo mapping,difficulty,marks
Bad Question KzOhT,Option A 0,Option B 0,Option C 0,Option D 0,A,CO5,LO4,Easy,5
Sample Question 2: PwP0y6mcJ0L6GDVJafQw?,Option A 1,Option B 1,Option C 1,Option D 1,C,CO2,LO5,Easy,5
Bad Question ANeB0,Option A 2,Option B 2,Option C 2,Option D 2,B,CO5,LO4,Easy,5
Sample Question 4: fREEcvMVELS63aSaOFWJ?,Option A 3,Option B 3,Option C 3,Option D 3,A,CO1,LO1,Medium,1
Bad Question MeuCe,Option A 4,Option B 4,Option C 4,Option D 4,C,CO5,LO4,Medium,5
Sample Question 6: rMHiNhA777pph95hHRy0?,Option A 5,Option B 5,Option C 5,Option D 5,A,CO1,LO4,Easy,1
Sample Question 7: 0rLFLMkFY1RBrY8bBjvi?,Option A 6,Option B 6,Option C 6,Option D 6,B,CO4,LO4,Medium,1
Sample Question 8: 1uWFZsBkR3AtfmLHLgDJ?,Option A 7,Option B 7,Option C 7,Option D 7,D,CO2,LO1,Medium,1
Sample Question 9: FL2Jv9PcyIpWU7BCbEO3?,Option A 8,Option B 8,Option C 8,Option D 8,C,CO2,LO2,Medium,1
Sample Question 10: PKdN6HoZtvNMiZ4KucXy?,Option A 9,Option B 9,Option C 9,Option D 9,D,CO3,LO2,Easy,1
Sample Question 11: F9PvgfS9HD1asniditDk?,Option A 10,Option B 10,Option C 10,Option D 10,A,CO4,LO2,Medium,2
Sample Question 12: 7aryLVM8ytmFNMNx0xYD?,Option A 11,Option B 11,Option C 11,Option D 11,D,CO3,LO5,Medium,5
Sample Question 13: 6Ci43cyDGe3nPxDME8cT?,Option A 12,Option B 12,Option C 12,Option D 12,C,CO2,LO3,Medium,1
Sample Question 14: Mmt6D58ANnEoziMIYvPb?,Option A 13,Option B 13,Option C 13,Option D 13,D,CO3,LO1,Medium,5
Sample Question 15: obI7aaXIU6lUNG3FhyI8?,Option A 14,Option B 14,Option C 14,Option D 14,B,CO2,LO1,Medium,1
Sample Question 16: fwwAx2Dd7idYdTMGZA7b?,Option A 15,Option B 15,Option C 15,Option D 15,D,CO3,LO4,Hard,5
Sample Question 17: DpgpvWdEyFHyobVDCP9k?,Option A 16,Option B 16,Option C 16,Option D 16,C,CO5,LO2,Medium,5
Sample Question 18: M5KjR1eEXRtNotDkYzbV?,Option A 17,Option B 17,Option C 17,Option D 17,A,CO1,LO5,Hard,2
Sample Question 19: retQ4pe5nkg2ZXI3X0x0?,Option A 18,Option B 18,Option C 18,Option D 18,B,CO2,LO4,Hard,5
Bad Question a7Xvu,Option A 19,Option B 19,Option C 19,Option D 19,D,CO1,LO3,Medium,5
Sample Question 21: Cl7BqcpvINf4NKwqf24l?,Option A 20,Option B 20,Option C 20,Option D 20,D,CO3,LO4,Hard,2
Sample Question 22: L6F4FlFpxq34JTKjdxo5?,Option A 21,Option B 21,Option C 21,Option D 21,B,CO5,LO2,Easy,5
Sample Question 23: bBlLs575Pu0GDTQt6rlF?,Option A 22,Option B 22,Option C 22,Option D 22,D,CO5,LO4,Hard,1
Sample Question 24: XoN309D42JuX397UZ4Uu?,Option A 23,Option B 23,Option C 23,Option D 23,C,CO3,LO4,Hard,5
Sample Question 25: MKwkHOTTD6Uo2v8Abxql?,Option A 24,Option B 24,Option C 24,Option D 24,B,CO5,LO2,Hard,1
Sample Question 26: GvHGOdsULyhv6LXQ8uPV?,Option A 25,Option B 25,Option C 25,Option D 25,A,CO5,LO3,Easy,1
Sample Question 27: YhaA74yMmB7fYns9vc72?,Option A 26,Option B 26,Option C 26,Option D 26,C,CO2,LO5,Hard,2
Sample Question 28: 6KjnPGAynKSaUw6Nccn7?,Option A 27,Option B 27,Option C 27,Option D 27,C,CO2,LO4,Easy,5
Sample Question 29: hX2rwtcN9ZehRDVeRI57?,Option A 28,Option B 28,Option C 28,Option D 28,C,CO5,LO3,Medium,5
Sample Question 30: KsjcQKX4SQkRxNEUoOv3?,Option A 29,Option B 29,Option C 29,Option D 29,B,CO4,LO1,Hard,2
Sample Question 31: nQNxS2kQWWOHKAU6zCHD?,Option A 30,Option B 30,Option C 30,Option D 30,A,CO1,LO2,Medium,2
Sample Question 32: mFY68LnXZNIjr8sNrsRQ?,Option A 31,Option B 31,Option C 31,Option D 31,D,CO2,LO5,Hard,2
